category,file,status,size,content_type,url
02_煤矿顶板事故应急预案,阳泉市煤矿生产安全事故应急预案.html,OK,137729,text/html,https://xxgk.yq.gov.cn/yqsrmzf1/fdzdgknr_45346/lzyj/szfbgswj/202412/t20241220_1997033_xxgk2.shtml
02_煤矿顶板事故应急预案,巴彦淖尔市煤矿生产安全事故应急预案2025年版.html,OK,140810,text/html,https://www.bynr.gov.cn/zfxxgk/zfxxgk/qtwj/202512/t20251231_44580.html
02_煤矿顶板事故应急预案,泽州县煤矿生产安全事故应急预案.pdf,OK,490487,application/pdf,http://www.zezhou.gov.cn/zwgk/zfwj/202409/P020240902399390001890.pdf
03_冲击地压防治技术规范,2025年征求防治煤矿冲击地压细则修订稿意见函_煤炭工业协会.html,OK,58269,text/html; charset=gbk,https://www.coalchina.org.cn/index.php?m=content&c=index&a=show&catid=39&id=158244
03_冲击地压防治技术规范,2026年新版防治煤矿冲击地压细则印发_新闻.html,OK,103141,text/html;charset=UTF-8,http://www.chinaminingmagazine.com/news/1873
03_冲击地压防治技术规范,征求防治煤矿冲击地压细则修订稿意见函_内蒙古局_复检.html,OK,3608,text/html; charset=utf-8,https://nmg.chinamine-safety.gov.cn/Item/14312.aspx
05_近五年煤矿顶板事故通报,2021-01-09内蒙古王家塔矿井顶板事故调查报告.pdf,OK,302195,application/pdf,http://nmg.chinamine-safety.gov.cn/UploadFiles/sgcc/2021/9/202109021129177107.pdf
05_近五年煤矿顶板事故通报,2023-07-10湖南嘉禾浦溪井顶板事故调查报告.pdf,OK,592239,application/pdf,https://hun.chinamine-safety.gov.cn/zwgk/jczfxxgk/sgdcbb/202309/P020230928557098415699.pdf
05_近五年煤矿顶板事故通报,2022-07-24山东新陶阳煤矿顶板事故调查报告.pdf,OK,1168538,application/pdf,https://sd.chinamine-safety.gov.cn/resource/sdcoal2021/att/202212/42d1056b-2664-45fa-92f3-8d1e32e29acb.pdf
